time,ax,ay,az,gx,gy,gz
9018.35,0.00,-0.01,-0.99,-0.03,1.29,-0.36
9019.36,-0.00,-0.01,-0.99,0.18,2.17,-0.81
9020.37,0.00,-0.01,-0.98,-1.85,-4.68,2.05
9021.38,-0.03,-0.07,-1.05,50.96,0.14,0.26
9022.40,0.05,-0.07,-1.10,-22.38,-2.11,-4.52
9023.41,0.01,0.02,-1.06,-14.98,7.61,-1.71
9024.42,0.05,0.00,-1.04,-24.64,17.16,7.18
9025.43,0.07,0.01,-1.03,19.26,2.85,-7.06
9026.44,0.05,0.00,-1.00,12.99,13.51,-16.30
9027.45,0.09,-0.02,-1.02,-12.33,13.54,-1.52
9028.46,0.13,-0.01,-0.98,-34.33,5.00,-1.66
9029.48,0.09,0.13,-0.90,-11.14,7.35,-2.69
9030.49,0.16,0.09,-1.01,-30.57,16.28,2.53
9031.50,0.19,0.15,-0.86,-14.25,13.28,2.20
9032.51,0.23,0.10,-0.88,-8.47,6.05,0.04
9033.52,0.23,0.15,-0.88,-9.24,6.65,3.37
9034.53,0.26,0.14,-0.87,2.85,4.61,5.79
9035.54,0.26,0.18,-0.86,-7.77,8.65,-0.72
9036.56,0.25,0.18,-0.76,4.80,3.23,-0.25
9037.57,0.25,0.20,-0.71,7.49,-6.07,1.76
9038.58,0.22,0.13,-0.74,16.90,-10.11,7.58
9039.59,0.22,0.09,-1.00,14.08,-31.94,8.64
9040.60,0.21,0.03,-0.91,29.77,-5.39,7.45
9041.61,0.12,0.04,-1.06,6.63,-22.05,2.72
9042.62,0.14,-0.05,-0.97,6.85,-8.29,2.00
9043.63,0.11,0.01,-0.96,-19.79,-19.47,2.56
9044.65,0.11,0.04,-0.96,7.40,1.11,-0.25
9045.66,0.10,-0.06,-1.01,8.09,15.12,2.97
9046.67,0.08,0.02,-1.07,-5.06,-12.02,9.23
9047.68,0.06,0.02,-1.05,-10.50,-23.18,-6.52
9048.69,0.01,0.02,-0.90,3.43,-23.33,2.29
9049.70,-0.01,0.02,-1.03,-5.95,-6.27,1.11
9050.71,0.00,-0.01,-1.00,-13.70,-5.53,1.97
9051.73,0.03,0.00,-0.98,4.78,-1.00,0.79
9052.74,0.01,-0.01,-0.99,-2.78,-8.11,-1.65
9053.75,-0.00,-0.00,-0.99,-0.24,0.45,-0.65
9054.76,-0.01,-0.01,-0.99,-0.26,3.99,0.86
9055.77,-0.01,-0.00,-0.99,-0.56,4.05,-0.43
9056.78,0.00,0.01,-0.98,-2.69,0.55,3.02
9057.79,-0.02,-0.01,-0.99,-2.04,1.04,14.40
