time,ax,ay,az,gx,gy,gz
132.53,0.00,-0.01,-1.00,-5.68,-3.67,2.43
133.54,-0.03,-0.00,-0.99,-1.19,1.98,0.53
134.55,-0.01,0.00,-0.98,-0.87,-3.59,-0.37
135.57,-0.01,-0.00,-0.99,-0.66,-0.85,-0.08
136.58,-0.01,-0.01,-0.99,-0.60,1.50,-0.88
137.59,-0.01,-0.01,-0.98,-0.42,0.34,-0.32
138.60,-0.01,-0.00,-0.98,-0.08,0.14,-0.29
139.61,-0.01,-0.01,-0.99,-0.03,0.47,-0.53
140.62,-0.01,-0.00,-0.98,0.71,2.28,-1.63
141.63,-0.00,-0.01,-0.99,0.18,2.53,-1.48
142.65,-0.02,-0.01,-1.00,0.08,0.33,-2.64
143.66,-0.00,-0.01,-1.02,3.73,-0.13,-3.81
144.67,0.01,-0.10,-0.92,57.43,5.20,12.68
145.68,0.01,-0.21,-0.90,94.92,-1.69,9.67
146.69,-0.01,-0.34,-0.89,98.75,-5.49,-3.80
147.70,0.01,-0.51,-0.84,101.36,0.57,-6.18
148.71,0.03,-0.66,-0.71,108.47,-7.91,-3.12
149.72,-0.02,-0.79,-0.61,116.81,-13.27,-1.20
150.74,-0.02,-0.89,-0.38,111.56,-21.14,-1.37
151.75,0.00,-0.97,-0.16,81.65,-10.28,2.92
152.76,-0.02,-0.99,-0.05,42.74,-2.62,-3.25
153.77,-0.02,-1.00,-0.03,6.44,-0.89,2.36
154.78,-0.01,-1.00,-0.03,4.20,2.76,-6.99
155.79,-0.02,-0.99,-0.04,-0.52,-0.47,2.05
156.80,-0.01,-1.00,-0.02,-9.54,-0.08,1.82
157.82,-0.03,-1.00,-0.08,-46.63,0.85,0.69
158.83,-0.04,-0.96,-0.29,-93.32,19.43,-2.53
159.84,0.00,-0.90,-0.42,-92.70,9.30,-1.79
160.85,0.01,-0.80,-0.52,-106.85,4.56,0.79
161.86,0.03,-0.69,-0.65,-108.67,2.19,-5.02
162.87,0.03,-0.52,-0.78,-97.50,7.27,-3.50
163.88,0.01,-0.36,-0.88,-108.67,11.12,9.28
164.89,0.03,-0.20,-0.94,-86.33,-11.57,-13.44
165.91,0.02,-0.10,-0.95,-49.71,-8.15,-8.54
166.92,0.00,-0.02,-1.00,-13.47,-3.01,-1.84
167.93,0.00,-0.00,-0.98,-3.51,-1.95,1.37
168.94,0.01,-0.01,-0.98,-0.34,3.51,-0.72
169.95,-0.00,-0.01,-0.98,0.10,2.40,-0.83
170.96,-0.00,-0.01,-0.98,-0.62,-0.71,0.54
171.97,-0.01,-0.01,-0.98,-2.00,-1.92,-0.60
